"Comparison_ID","US_ID","Gap_ID","Final_Gap_Label","Gap_Category","Base_Condition","Compared_Condition","Present_in_C0","Present_in_Compared","C0_Coverage","Compared_Coverage","Compared_Relevance","Behavior","Evidence"
"CMP112","US22","US22_G04","Popular content fallback rule","Lexical","C0","CL","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP113","US22","US22_G04","Popular content fallback rule","Operational","C0","CO","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","CTX CO: ""Users with insufficient history receive non-personalized popular content instead."" (context provided in this run) | The fallback is established; the popularity calculation is not defined. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP114","US22","US22_G04","Popular content fallback rule","Operational","C0","CD","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","No explicit rule in the User Story or supplied context defines how popular eligible content should be determined for fallback recommendations. | Equivalent duplicate in the same Run_ID."
"CMP115","US22","US22_G04","Popular content fallback rule","Operational","C0","CS","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","No explicit rule in the User Story or supplied context defines how non-personalized popular eligible content should be calculated or selected. | The fallback rule exists in the reference; the popularity calculation is not defined anywhere. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP116","US22","US22_G04","Popular content fallback rule","Operational","C0","CT","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","CTX CO (within CT): ""Users with insufficient history receive non-personalized popular content instead."" | The fallback is established; the determination of ""popular content"" is not. | Partial coverage was reviewed against the execution material."
"CMP117","US22","US22_G05","History-disabled declared-interest/history use decision","Decisional","C0","CL","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP118","US22","US22_G05","History-disabled declared-interest/history use decision","Decisional","C0","CO","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP119","US22","US22_G05","History-disabled declared-interest/history use decision","Decisional","C0","CD","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP120","US22","US22_G05","History-disabled declared-interest/history use decision","Decisional","C0","CS","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP121","US22","US22_G05","History-disabled declared-interest/history use decision","Decisional","C0","CT","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP122","US22","US22_G06","History-disabled declared-interest use decision","Decisional","C0","CO","No","Yes","N/A","Unanswered","Necessary","Emergent","Not found in the execution material. | The question presupposes the opt-out feature, which is not part of the operational context provided in this run. Possible model inference. | Equivalent duplicate in the same Run_ID."
"CMP123","US22","US22_G06","History-disabled declared-interest use decision","Decisional","C0","CD","No","Yes","N/A","Partially answered","Necessary","Emergent","Users may disable the use of their interaction history for personalized recommendations. / The Profile Service provides declared interests and privacy settings. | The opt-out is scoped to interaction history, which implies — but does not state — that declared interests remain usable. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP124","US22","US22_G06","History-disabled declared-interest use decision","Decisional","C0","CS","No","Yes","N/A","Unanswered","Necessary","Emergent","No explicit decision in the User Story or supplied context states whether declared interests from the Profile Service may still be used when interaction-history use is disabled. | Privacy settings are mentioned as data, but no rule defines behavior when history use is disabled. See also REF US22_CD_03. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP125","US22","US22_G06","History-disabled declared-interest use decision","Decisional","C0","CT","No","Yes","N/A","Partially answered","Necessary","Emergent","Users may disable the use of their interaction history for personalized recommendations. / The Profile Service provides declared interests and privacy settings. | The opt-out is scoped to interaction history; the status of declared interests is implied but not stated. | Partial coverage was reviewed against the execution material."
"CMP126","US22","US22_G07","Previously engaged content exclusion rule","Decisional","C0","CD","No","Yes","N/A","Unanswered","Useful","Emergent","No explicit rule in the User Story or supplied context defines how popular eligible content should be determined for fallback recommendations. | The reference excludes dismissed items only; exclusion of viewed, saved, or rated content is not addressed. | Equivalent duplicate in the same Run_ID."
"CMP127","US22","US22_G08","Eligible interaction history signals for similarity","Systemic","C0","CL","No","Yes","N/A","Unanswered","Necessary","Emergent","No explicit list in the User Story or supplied context defines which interaction types count as positive feedback for similarity scoring. | The reference lists the signals; which interactions count as ""positive feedback"" is not decomposed."
"CMP128","US22","US22_G08","Eligible interaction history signals for similarity","Systemic","C0","CS","No","Yes","N/A","Unanswered","Necessary","Emergent","The supplied material refers to interaction/history signals, but it does not explicitly define which behavioral events from the Interaction History Service are eligible for similarity scoring. | The signal composition exists in the reference (US22_CO_01) but was not provided in this run. | Equivalent duplicate in the same Run_ID."
"CMP129","US22","US22_G09","No eligible recommendations user-visible state","Operational","C0","CL","No","Yes","N/A","Unanswered","Useful","Emergent","ABSENT. Neither the lexical context nor any reference entry defines the user-visible empty state. | The fallback rule (US22_CO_03) is related but addresses a different condition (insufficient history, not zero eligible items)."
"CMP130","US22","US22_G09","No eligible recommendations user-visible state","Operational","C0","CT","No","Yes","N/A","Unanswered","Useful","Emergent","ABSENT: None of the four context blocks defines the user-visible state when no eligible recommendations exist. | The fallback rule covers insufficient history, which is a different condition."
"CMP131","US22","US22_G10","Tie-breaking for equally scored recommendations","Operational","C0","CO","No","Yes","N/A","Unanswered","Useful","Emergent","Not found in the execution material. | The ranking basis is given; the tie-breaking rule between equally scored items is absent. | Equivalent duplicate in the same Run_ID."
